film,IMDb ID,Genres
The Player,tt0105151,"Crime, Drama, Comedy, Thriller"
Changing Our Minds: The Story of Dr. Evelyn Hooker,tt0103938,"Biography, Documentary, History"
Fires of Kuwait,tt0104275,"Documentary, Short"
Liberators: Fighting on Two Fronts in World War II,tt0104721,"War, Documentary"
Music for the Movies: Bernard Herrmann,tt0104946,"Biography, Documentary, Music"
The Panama Deception,tt0105089,"War, Documentary, History"
At the Edge of Conquest: The Journey of Chief Wai-Wai,tt0103728,"Documentary, Short"
Beyond Imagining: Margaret Anderson and the 'Little Review',tt0103803,"Documentary, Short"
The Colours of My Father: A Portrait of Sam Borenstein,tt0103985,"Biography, Animation, Documentary, Short"
Educating Peter,tt0104167,"Documentary, Short"
When Abortion Was Illegal: Untold Stories,tt0105805,"Documentary, Short"
Basic Instinct,tt0103772,"Thriller, Mystery, Drama"
Close to Eden,tt0105483,"Crime, Mystery, Drama, Romance"
Daens,tt0104046,"Biography, Drama, History"
A Place in the World,tt0104774,Drama
Schtonk!,tt0105328,"Crime, Comedy"
Batman Returns,tt0103776,"Crime, Action, Fantasy"
Aladdin,tt6139732,"Comedy, Family, Musical, Romance, Adventure, Fantasy"
The Mambo Kings,tt0104802,"Drama, Music"
The Bodyguard,tt0103855,"Thriller, Romance, Drama, Music"
Adam,tt0085136,"Crime, Drama"
Mona Lisa Descending a Staircase,tt0104908,"Animation, Short"
"Reci, Reci, Reci... (Words, Words, Words)",Not found,N/A
The Sandman,tt1751634,"Drama, Mystery, Horror, Fantasy, Sci-Fi"
Screen Play,tt1049304,Drama
Contact,tt0118884,"Thriller, Mystery, Drama, Sci-Fi"
Cruise Control,tt0104032,Short
The Lady in Waiting,tt0104669,Short
Omnibus,tt0044284,"Drama, History, Music"
Swan Song,tt13207508,"Sci-Fi, Drama, Romance, Thriller"
The Last of the Mohicans,tt0104691,"Adventure, Action, Drama, Romance"
Under Siege,tt0105690,"Thriller, Action"
Alien 3,tt0103644,"Horror, Action, Sci-Fi"
Death Becomes Her,tt0104070,"Fantasy, Horror, Comedy"
In the Name of the Father,tt0107207,"Biography, Drama, Crime"
What's Love Got to Do with It,tt0108551,"Biography, Drama, Music"
Philadelphia,tt0107818,Drama
The Remains of the Day,tt0107943,"Drama, Romance"
Schindler's List,tt0108052,"Biography, Drama, History"
What's Eating Gilbert Grape,tt0108550,Drama
The Fugitive,tt0106977,"Drama, Mystery, Action, Crime, Thriller"
In the Line of Fire,tt0107206,"Crime, Action, Drama, Thriller"
Six Degrees of Separation,tt0108149,"Mystery, Drama, Comedy"
The Piano,tt0107822,"Romance, Drama, Music"
Shadowlands,tt0108101,"Biography, Drama, Romance"
The Firm,tt0106918,"Thriller, Mystery, Drama"
Fearless,tt0446059,"Biography, Action, Drama"
The Age of Innocence,tt0106226,"Drama, Romance"
Addams Family Values,tt0106220,"Fantasy, Comedy"
Orlando,tt0107756,"Biography, Fantasy, Drama, Romance"
Farewell My Concubine,tt0106332,"Romance, Drama, Music"
Searching for Bobby Fischer,tt0108065,"Biography, Sport, Drama"
Short Cuts,tt0108122,"Drama, Comedy"
The Broadcast Tapes of Dr. Peter,tt0106485,"Biography, Documentary"
Children of Fate,tt0791625,Short
For Better or for Worse,tt3579488,"Comedy, Romance"
I Am a Promise: The Children of Stanton Elementary School,tt0107177,Documentary
The War Room,tt0108515,"Documentary, History"
Blood Ties: The Life and Work of Sally Mann,tt0106431,"Biography, Documentary, Short"
Chicks in White Satin,tt0106555,"Documentary, Short"
Defending Our Lives,tt0106694,"Documentary, Short"
Belle Epoque,tt0103791,"Drama, Comedy, Romance"
Hedd Wyn,tt0104403,"War, Drama, Romance"
The Scent of Green Papaya,tt0107617,"Romance, Drama, Music"
The Wedding Banquet,tt32214413,"Comedy, Romance"
Mrs. Doubtfire,tt0107614,"Drama, Comedy"
Poetic Justice,tt0107840,"Drama, Romance"
Beethoven's 2nd,tt0106375,"Family, Comedy, Romance"
Sleepless in Seattle,tt0108160,"Drama, Comedy, Romance"
Blindscape,tt0106428,"Animation, Short"
The Mighty River,tt0107574,"Animation, History, Family, Documentary, Short"
Small Talk,tt0020419,"Family, Short, Comedy"
The Village,tt0368447,"Thriller, Mystery, Drama"
The Wrong Trousers,tt0108598,"Animation, Comedy, Mystery, Family, Crime, Short"
Black Rider (Schwarzfahrer),Not found,N/A
Down on the Waterfront,tt0106766,"Drama, Short"
The Dutch Master,tt0112917,"Short, Comedy, Romance"
Partners,tt2994108,Comedy
The Screw (La Vis),Not found,N/A
Cliffhanger,tt1441251,"Adventure, Action, Thriller"
Geronimo: An American Legend,tt0107004,"Western, Drama, History"
Jurassic Park,tt0107290,"Adventure, Action, Thriller, Sci-Fi"
The Nightmare before Christmas,tt0107688,"Fantasy, Animation, Musical, Family"
Dave,tt8531222,"Comedy, Music"
The Shawshank Redemption,tt0111161,Drama
Forrest Gump,tt0109830,"Drama, Romance"
The Madness of King George,tt0110428,"Biography, History, Drama, Comedy"
Nobody's Fool,tt0110684,"Drama, Comedy"
