film,IMDb ID,Genres
Boys Don't Cry,tt0171804,"Biography, Drama, Crime, Romance"
"Girl, Interrupted",tt0172493,"Biography, Drama"
Being John Malkovich,tt0120601,"Fantasy, Drama, Comedy"
Anna and the King,tt0166485,"Drama, History, Romance"
Sleepy Hollow,tt0162661,"Fantasy, Mystery, Horror"
Topsy-Turvy,tt0151568,"Drama, History, Comedy, Musical, Biography"
Snow Falling on Cedars,tt0120834,"Thriller, Mystery, Drama, Romance"
Titus,tt0120866,"Thriller, Drama, History"
Buena Vista Social Club,tt0186508,"Documentary, Music"
Genghis Blues,tt0187859,"Documentary, Music"
On the Ropes,tt9261290,Drama
One Day in September,tt0230591,"Sport, Documentary, History"
Speaking in Strings,tt0181835,Documentary
Eyewitness,tt5369352,"Crime, Mystery, Thriller, Romance"
King Gimp,tt0239528,"Documentary, Short"
The Wildest Show in the South: The Angola Prison Rodeo,tt0240216,"Sport, Documentary, Short"
The Matrix,tt0133093,"Action, Sci-Fi"
All about My Mother,tt0185125,"Drama, Comedy, Romance"
Caravan,tt29271671,Drama
East-West,tt4328186,"Sport, Drama, Action, Romance, Adventure, Western"
Solomon and Gaenor,tt0181830,"Drama, Romance"
Under the Sun,tt0158302,"Drama, Romance"
Austin Powers: The Spy Who Shagged Me,tt0145660,"Adventure, Action, Crime, Comedy"
Bicentennial Man,tt0182789,"Sci-Fi, Drama, Romance"
Life,tt5442430,"Horror, Thriller, Sci-Fi"
Angela's Ashes,tt0145653,"Biography, Drama"
The Red Violin,tt0120802,"Mystery, Romance, Drama, Music"
"South Park: Bigger, Longer & Uncut",tt0158983,"Fantasy, Animation, Comedy"
Toy Story 2,tt0120363,"Animation, Comedy, Family, Adventure, Fantasy"
Tarzan,tt0120855,"Animation, Drama, Comedy, Family, Adventure, Music"
Humdrum,tt0192145,"Animation, Short, Comedy"
My Grandmother Ironed the King's Shirts,tt0210853,"Biography, Animation, Short, Family"
The Old Man and the Sea,tt0100288,Drama
3 Misses,tt0239206,"Fantasy, Animation, Short, Comedy"
When the Day Breaks,tt0200282,"Animation, Drama, Comedy, Musical, Fantasy, Short, Music"
"Bror, Min Bror (Teis and Nico)",Not found,N/A
Killing Joe,tt0236386,Short
Kleingeld (Small Change),Not found,N/A
Major and Minor Miracles,tt0239583,Short
My Mother Dreams the Satan's Disciples in New York,tt0177023,"Short, Comedy"
The Mummy,tt0120616,"Adventure, Action, Fantasy"
Star Wars Episode I: The Phantom Menace,tt33397245,Back to top
Fight Club,tt0137523,"Crime, Drama, Thriller"
Stuart Little,tt0164912,"Adventure, Family, Fantasy, Comedy"
Election,tt0126886,"Comedy, Romance"
Before Night Falls,tt0247196,"Biography, Drama, Romance"
Gladiator,tt0172495,"Adventure, Action, Drama"
Cast Away,tt0162222,"Adventure, Drama, Romance"
Pollock,tt0183659,"Biography, Drama"
Quills,tt0180073,"Biography, Drama"
The Contender,tt0208874,"Thriller, Drama"
Shadow of the Vampire,tt0189998,"Horror, Drama"
Traffic,tt0181865,"Crime, Drama, Thriller"
Erin Brockovich,tt0195685,"Biography, Drama"
Chocolat,tt0241303,"Drama, Romance"
Requiem for a Dream,tt0180093,Drama
You Can Count on Me,tt0203230,Drama
Almost Famous,tt0181875,"Adventure, Drama, Comedy, Music"
Billy Elliot,tt0249462,"Drama, Music"
"Crouching Tiger, Hidden Dragon",tt0190332,"Adventure, Action, Drama"
Dr. Seuss' How the Grinch Stole Christmas,tt35108104,Back to top
Vatel,tt0190861,"Biography, Drama, History, Romance"
Malèna,tt0213847,"War, Drama, Romance"
"O Brother, Where Art Thou?",tt0190590,"Adventure, Crime, Comedy"
The Patriot,tt0187393,"War, Action, Drama, History"
102 Dalmatians,tt0211181,"Adventure, Family, Comedy"
Into the Arms of Strangers: Stories of the Kindertransport,tt0248912,"War, Documentary, History"
Legacy,tt0168344,Drama
Long Night's Journey into Day,tt0236447,Documentary
Scottsboro: An American Tragedy,tt0240885,"Documentary, History"
Sound and Fury,tt0240912,Documentary
Big Mama,tt0208003,"Crime, Action, Comedy"
Curtain Call,tt23150904,Drama
Dolphins,tt0490114,"Action, Drama, Romance"
The Man on Lincoln's Nose,tt0271628,"Documentary, Short"
On Tiptoe: Gentle Steps to Freedom,tt0254621,"Documentary, Music"
Wonder Boys,tt0185014,"Drama, Comedy"
Amores Perros,tt0245712,"Thriller, Drama"
Divided We Fall,tt0234288,"War, Drama, Comedy"
Everybody Famous!,tt0209037,"Drama, Comedy, Music"
The Taste of Others,tt0216787,"Drama, Comedy, Romance"
The Cell,tt0209958,"Crime, Thriller, Horror, Sci-Fi"
Meet the Parents,tt0212338,"Comedy, Romance"
Dancer in the Dark,tt0168629,"Crime, Drama, Musical"
The Emperor's New Groove,tt0120917,"Adventure, Animation, Family, Comedy"
Father and Daughter,tt0279079,"Animation, Drama, Short"
The Periwig-Maker,tt0239797,"Animation, Drama, Short"
Rejected,tt7938492,"Fantasy, Drama"
By Courier,tt0278378,Short
One Day Crossing,tt0269658,"War, Drama, Short, History"
Quiero Ser (I want to be...),tt0216131,"Drama, Short"
Seraglio,tt0262758,"Short, Comedy, Romance"
A Soccer Story (Uma Historia de Futebol),Not found,N/A
The Perfect Storm,tt0177971,"Adventure, Action, Drama, Thriller"
U-571,tt0141926,"War, Action"
Space Cowboys,tt0186566,"Adventure, Action, Thriller"
Hollow Man,tt0164052,"Horror, Action, Thriller, Sci-Fi"
A Beautiful Mind,tt0268978,"Biography, Mystery, Drama"
I Am Sam,tt0277027,Drama
Ali,tt0248667,"Biography, Sport, Drama"
Training Day,tt0139654,"Crime, Drama, Thriller"
In the Bedroom,tt0247425,"Crime, Drama"
Iris,tt0280778,"Biography, Drama, Romance"
Sexy Beast,tt0203119,"Crime, Drama, Thriller"
The Lord of the Rings: The Fellowship of the Ring,tt0120737,"Adventure, Fantasy, Drama"
Monster's Ball,tt0285742,"Drama, Romance"
Moulin Rouge,tt0044926,"Biography, Romance, Drama, Music"
Bridget Jones's Diary,tt0243155,"Drama, Comedy, Romance"
Gosford Park,tt0280707,"Mystery, Drama, Comedy"
Jimmy Neutron: Boy Genius,tt0268397,"Animation, Comedy, Action, Family, Adventure, Sci-Fi"
"Monsters, Inc.",tt0198781,"Adventure, Animation, Family, Comedy"
Shrek,tt0126029,"Adventure, Animation, Comedy"
Amélie,tt0211915,"Comedy, Romance"
Harry Potter and the Sorcerer's Stone,tt0241527,"Adventure, Fantasy, Family"
Black Hawk Down,tt0265086,"War, Action, Drama, History"
The Man Who Wasn't There,tt0243133,"Crime, Drama"
The Affair of the Necklace,tt0242252,"Drama, History, Romance"
Mulholland Drive,tt0166924,"Thriller, Mystery, Drama"
Children Underground,tt0264476,Documentary
LaLee's Kin: The Legacy of Cotton,tt0274622,Documentary
Murder on a Sunday Morning,tt0307197,"Crime, Documentary"
Promises,tt10042788,"Drama, Romance"
War Photographer,tt0309061,"War, Documentary"
Artists and Orphans: A True Drama,tt0289073,"Documentary, Short"
Sing!,tt0308899,"Documentary, Short"
Thoth,tt0299178,"Music, Documentary, Short"
Memento,tt0209144,"Thriller, Mystery"
Elling,tt0279064,"Drama, Comedy"
Lagaan,tt0169102,"Sport, Drama, Musical"
No Man's Land,tt8335218,"Thriller, War, Drama"
Son of the Bride,tt0292542,"Drama, Comedy"
A.I. Artificial Intelligence,tt0212720,"Adventure, Drama, Sci-Fi"
Pearl Harbor,tt0213149,"War, Action, Drama, Romance"
Kate & Leopold,tt0035423,"Fantasy, Comedy, Romance"
Vanilla Sky,tt0259711,"Mystery, Thriller, Romance, Fantasy, Sci-Fi"
Fifty Percent Grey,tt0303336,"Fantasy, Animation, Short, Comedy"
For the Birds,tt0248808,"Family, Animation, Short, Comedy"
Give Up Yer Aul Sins,tt4617548,"Animation, Short"
Strange Invaders,tt0086374,"Horror, Mystery, Sci-Fi"
Stubble Trouble,tt0194411,"Animation, Short, Comedy"
the accountant,tt2140479,"Crime, Action, Drama, Thriller"
Copy Shop,tt0182014,"Drama, Comedy, Short"
Gregor's Greatest Invention,tt0304107,"Adventure, Short, Comedy, Romance"
A Man Thing (Meska Sprawa),Not found,N/A
Speed for Thespians,tt0269899,"Drama, Comedy, Short"
Ghost World,tt0162346,"Drama, Comedy"
The Royal Tenenbaums,tt0265666,"Drama, Comedy"
The Pianist,tt0253474,"Biography, War, Drama, Music"
Adaptation,tt0268126,"Drama, Comedy"
The Quiet American,tt0258068,"Thriller, War, Drama, Romance"
Gangs of New York,tt0217505,"Crime, Drama"
About Schmidt,tt0257360,Drama
The Hours,tt0274558,"Drama, Romance"
Road to Perdition,tt0257044,"Crime, Drama, Thriller"
Chicago,tt0299658,"Crime, Musical, Comedy"
Catch Me If You Can,tt0264464,"Biography, Drama, Crime"
Frida,tt0120679,"Biography, Drama, Romance"
Unfaithful,tt0250797,"Thriller, Drama, Romance"
Far from Heaven,tt0297884,"Drama, Romance"
Ice Age,tt0268380,"Adventure, Animation, Family, Comedy"
Lilo & Stitch,tt11655566,"Drama, Comedy, Action, Family, Adventure, Fantasy, Sci-Fi"
Spirit: Stallion of the Cimarron,tt0166813,"Animation, Drama, Family, Adventure, Western"
Spirited Away,tt0245429,"Adventure, Animation, Fantasy, Family"
Treasure Planet,tt0133240,"Animation, Family, Adventure, Fantasy, Sci-Fi"
The Lord of the Rings: The Two Towers,tt0167261,"Adventure, Fantasy, Drama"
Talk to Her,tt0287467,"Mystery, Drama, Romance"
Bowling for Columbine,tt0310793,"Crime, Drama, Documentary"
Daughter from Danang,tt0303281,"War, Documentary"
Prisoner of Paradise,tt0316013,"Biography, Documentary"
Spellbound,tt7215232,"Animation, Comedy, Family, Musical, Adventure, Fantasy"
Winged Migration,tt0301727,Documentary
The Collector of Bedford Street,tt0325193,"Documentary, Short"
Mighty Times: The Legacy of Rosa Parks,tt0353737,"Drama, Documentary, Short"
Twin Towers,tt0344503,"Documentary, Short"
Why Can't We Be a Family Again?,tt0344563,"Documentary, Short"
El Crimen del Padre Amaro,tt0313196,"Drama, Romance"
Hero,tt0299977,"Adventure, Action, Drama"
The Man without a Past,tt0311519,"Drama, Comedy, Romance"
Nowhere in Africa,tt0161860,"Biography, Drama, History"
Zus & Zo,tt0245157,"Fantasy, Comedy, Romance"
The Time Machine,tt0268695,"Adventure, Action, Sci-Fi"
The Wild Thornberrys Movie,tt0282120,"Animation, Comedy, Family, Adventure, Fantasy"
8 Mile,tt0298203,"Drama, Music"
The Cathedral,tt13658076,Drama
The ChubbChubbs!,tt0331218,"Animation, Comedy, Family, Fantasy, Short, Sci-Fi"
Das Rad,tt0330801,"Fantasy, Animation, Short, Comedy"
Mike's New Car,tt0323250,"Animation, Comedy, Family, Fantasy, Short"
Mt. Head,tt0351382,"Fantasy, Animation, Comedy"
Fait D'Hiver,tt0193926,Drama
I'll Wait for the Next One... (J'Attendrai Le Suivant...),Not found,N/A
Inja (Dog),Not found,N/A
Johnny Flynton,tt0329245,"Drama, Short"
This Charming Man (Der Er En Yndig Mand),Not found,N/A
Spider-Man,tt0145487,"Adventure, Action, Sci-Fi"
Minority Report,tt0181689,"Crime, Mystery, Action, Sci-Fi"
Star Wars Episode II Attack of the Clones,tt36220375,Back to top
About a Boy,tt0276751,"Drama, Comedy, Romance"
My Big Fat Greek Wedding,tt0259446,"Drama, Comedy, Romance"
Y Tu Mamá También,tt0245574,Drama
Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,"Adventure, Action, Fantasy"
House of Sand and Fog,tt0315983,"Crime, Drama"
Cold Mountain,tt0159365,"Adventure, War, Drama, Romance"
Lost in Translation,tt0335266,"Drama, Comedy"
Mystic River,tt0327056,"Crime, Mystery, Drama, Thriller"
The Cooler,tt0318374,"Drama, Romance"
21 Grams,tt0315733,"Crime, Drama, Thriller"
In America,tt0298845,Drama
The Last Samurai,tt0325710,"Action, Drama"
Whale Rider,tt0298228,"Drama, Family"
Something's Gotta Give,tt0337741,"Drama, Comedy, Romance"
Monster,tt0434706,"Animation, Drama, Mystery, Crime, Thriller"
Pieces of April,tt0311648,"Drama, Comedy"
Thirteen,tt0328538,Drama
Brother Bear,tt0328880,"Animation, Drama, Comedy, Family, Musical, Adventure, Fantasy"
Finding Nemo,tt0266543,"Adventure, Animation, Family, Comedy"
The Triplets of Belleville,tt0286244,"Animation, Sport, Drama, Comedy, Adventure, Music"
Girl with a Pearl Earring,tt0335119,"Biography, Drama, Romance"
The Lord of the Rings: The Return of the King,tt0167260,"Adventure, Fantasy, Drama"
Master and Commander: The Far Side of the World,tt0311113,"Adventure, Action, War, Drama"
Seabiscuit,tt0329575,"Sport, Drama, History"
City of God,tt0317248,"Crime, Drama"
Balseros,tt0321376,Documentary
Capturing the Friedmans,tt0342172,"Biography, Documentary, Crime"
The Fog of War,tt0317910,"Biography, War, Documentary, History"
My Architect,tt0373175,"Biography, Documentary"
The Weather Underground,tt0343168,"War, Documentary, History"
Asylum,tt0348505,"Thriller, Drama, Romance"
Chernobyl Heart,tt0396959,"Documentary, Short"
Ferry Tales,tt0363607,"Documentary, Short"
The Barbarian Invasions,tt0338135,"Drama, Comedy, Mystery, Crime, Romance"
Evil,tt9055008,"Drama, Mystery, Crime, Thriller, Horror"
The Twilight Samurai,tt0351817,"Drama, Romance"
Twin Sisters,tt0322674,"War, Drama, Romance"
Zelary,tt0288330,"War, Drama, Romance"
Big Fish,tt0319061,"Adventure, Fantasy, Drama, Romance"
A Mighty Wind,tt0310281,"Comedy, Music"
Boundin',tt0395479,"Animation, Comedy, Family, Musical, Short"
Destino,tt0377770,"Animation, Short"
Gone Nutty,tt0342965,"Animation, Comedy, Family, Adventure, Short"
Harvie Krumpet,tt0382734,"Animation, Drama, Short, Comedy"
Nibbles,tt0392542,"Family, Animation, Short, Comedy"
Die Rote Jacke (The Red Jacket),Not found,N/A
Most (The Bridge),Not found,N/A
Squash,tt0341588,"Sport, Drama, Short, Comedy"
(A) Torzija [(A) Torsion],Not found,N/A
Two Soldiers,tt0036782,"War, Drama, Romance"
American Splendor,tt0305206,"Biography, Drama, Comedy"
Dirty Pretty Things,tt0301199,"Crime, Drama, Thriller"
Hotel Rwanda,tt0395169,"Biography, War, Drama, History"
Finding Neverland,tt0308644,"Biography, Drama, Family"
The Aviator,tt0338751,"Biography, Drama"
Million Dollar Baby,tt0405159,"Sport, Drama"
Ray,tt0350258,"Biography, Drama, Music"
Sideways,tt0375063,"Drama, Comedy, Romance"
Collateral,tt0369339,"Crime, Action, Drama, Thriller"
Closer,tt0376541,"Drama, Romance"
Being Julia,tt0340012,"Drama, Comedy, Romance"
Maria Full of Grace,tt0390221,"Crime, Drama"
Vera Drake,tt0383694,"Crime, Drama"
Eternal Sunshine of the Spotless Mind,tt0338013,"Sci-Fi, Drama, Romance"
Kinsey,tt0362269,"Biography, Drama, Romance"
The Incredibles,tt0317705,"Adventure, Animation, Action, Family"
Shark Tale,tt0307453,"Animation, Comedy, Family, Thriller, Adventure"
Shrek 2,tt0298148,"Animation, Comedy, Family, Adventure, Fantasy"
Lemony Snicket's A Series of Unfortunate Events,tt4834206,"Drama, Comedy, Mystery, Family, Adventure"
The Phantom of the Opera,tt0293508,"Thriller, Drama, Musical, Romance"
A Very Long Engagement,tt0344510,"War, Mystery, Drama, Romance"
House of Flying Daggers,tt0385004,"Adventure, Action, Drama, Romance"
The Passion of the Christ,tt0335345,Drama
Troy,tt0332452,"Adventure, Action, Drama"
Born into Brothels,tt0388789,"Biography, News, Documentary"
The Story of the Weeping Camel,tt0373861,"Drama, Documentary, Family"
Super Size Me,tt0390521,Documentary
Tupac: Resurrection,tt0343121,"Biography, Documentary, Music"
Twist of Faith,tt2585068,"Drama, Romance"
Autism Is a World,tt0443434,Documentary
The Children of Leningradsky,tt0442947,"Documentary, Short"
Hardwood,tt0443531,"Documentary, Short"
Mighty Times: The Children's March,tt0443587,"Drama, Documentary, Short"
Sister Rose's Passion,tt0420195,"Documentary, Short"
As It Is in Heaven,tt0382330,"Romance, Drama, Comedy, Music"
The Chorus (Les Choristes),Not found,N/A
Downfall,tt0363163,"Biography, War, Drama, History"
The Sea Inside,tt0369702,"Biography, Drama"
Yesterday,tt8079248,"Fantasy, Romance, Comedy, Music"
Harry Potter and the Prisoner of Azkaban,tt0304141,"Adventure, Mystery, Fantasy, Family"
The Motorcycle Diaries,tt0318462,"Adventure, Biography, Drama"
The Polar Express,tt0338348,"Animation, Comedy, Family, Adventure, Fantasy"
Birthday Boy,tt11363862,"Drama, Short"
Gopher Broke,tt0438064,"Animation, Short, Comedy"
Guard Dog,tt0430159,"Animation, Short, Comedy"
Lorenzo,tt0412936,"Animation, Comedy, Family, Horror, Fantasy, Short"
Ryan,tt0414469,"Animation, Drama, Documentary, Biography, Fantasy, Short"
Everything in This Country Must,tt0443499,"Drama, Short"
Little Terrorist,tt0425200,"Drama, Short"
7:35 in the Morning (7:35 de la Mañana),Not found,N/A
"Two Cars, One Night",tt0390579,"Drama, Short, Comedy, Romance"
Wasp,tt0388534,"Drama, Short"
Spider-Man 2,tt0316654,"Adventure, Action, Sci-Fi"
"I, Robot",tt0343818,"Thriller, Mystery, Action, Sci-Fi"
Before Sunset,tt0381681,"Drama, Romance"
Capote,tt0379725,"Biography, History, Drama, Crime"
Hustle & Flow,tt0410097,"Crime, Drama, Music"
Brokeback Mountain,tt0388795,"Drama, Romance"
Walk the Line,tt0358273,"Biography, Romance, Drama, Music"
"Good Night, and Good Luck.",tt0433383,"Biography, Drama, History"
Syriana,tt0365737,"Thriller, Drama"
Crash,tt0115964,Drama
Cinderella Man,tt0352248,"Biography, Sport, Drama, Romance"
A History of Violence,tt0399146,"Crime, Action, Drama, Thriller"
Mrs. Henderson Presents,tt0413015,"War, Drama, Comedy, Music"
Transamerica,tt0407265,"Adventure, Drama, Comedy"
Pride & Prejudice,tt0414387,"Drama, Romance"
North Country,tt0395972,Drama
Junebug,tt32897452,"Comedy, Romance"
The Constant Gardener,tt0387131,"Thriller, Mystery, Drama, Romance"
Howl's Moving Castle,tt0347149,"Adventure, Animation, Fantasy, Family"
Tim Burton's Corpse Bride,tt0121164,"Animation, Drama, Comedy, Family, Musical, Romance, Fantasy"
Wallace & Gromit in The Curse of the Were-Rabbit,Not found,N/A
Harry Potter and the Goblet of Fire,tt0330373,"Adventure, Mystery, Fantasy, Family"
King Kong,tt0360717,"Adventure, Action, Romance"
Memoirs of a Geisha,tt0397535,"Drama, Romance"
Batman Begins,tt0372784,"Crime, Action, Drama, Thriller"
The New World,tt0402399,"Biography, Drama, History, Romance"
Charlie and the Chocolate Factory,tt0367594,"Comedy, Family, Musical, Adventure, Fantasy"
Munich,tt0408306,"Thriller, Drama, History"
Darwin's Nightmare,tt0424024,Documentary
Enron: The Smartest Guys in the Room,tt1016268,"Biography, Documentary, History"
March of the Penguins,tt0428803,"Documentary, Family"
Murderball,tt0436613,"Sport, Documentary"
Street Fight,tt0457496,Documentary
The Death of Kevin Carter: Casualty of the Bang Bang Club,tt0439676,"Documentary, Short"
God Sleeps in Rwanda,tt0480247,"Documentary, Short"
The Mushroom Club,tt0762119,"Documentary, Short"
A Note of Triumph: The Golden Age of Norman Corwin,tt0491795,"Biography, Documentary, Short"
Don't Tell,tt0443446,"Mystery, Drama"
Joyeux Noël,tt0424205,"Drama, History, Romance, War, Music"
Paradise Now,tt0445620,"Crime, War, Drama, Thriller"
Sophie Scholl - The Final Days,Not found,N/A
Tsotsi,tt0468565,"Crime, Drama"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,"Adventure, Fantasy, Family"
Star Wars: Episode III Revenge of the Sith,tt0121766,"Adventure, Action, Fantasy"
Badgered,tt0455912,"Animation, Short, Comedy"
The Moon and the Son: An Imagined Conversation,tt0449619,"Biography, Animation, Short"
The Mysterious Geographic Explorations of Jasper Morello,tt0469146,"Animation, Mystery, Adventure, Short, Sci-Fi"
9,tt0472033,"Animation, Drama, Action, Adventure, Fantasy"
One Man Band,tt0479113,"Animation, Comedy, Family, Short, Music"
Ausreisser (The Runaway),Not found,N/A
Cashback,tt0460740,"Drama, Comedy, Romance"
The Last Farm,tt0461847,"Drama, Short"
Our Time Is Up,tt36512485,"Mystery, Drama, Sci-Fi"
Six Shooter,tt0425458,"Drama, Short, Comedy"
War of the Worlds,tt0407304,"Adventure, Action, Sci-Fi"
Match Point,tt0416320,"Thriller, Drama, Romance"
The Squid and the Whale,tt0367089,"Drama, Comedy"
Blood Diamond,tt0450259,"Adventure, Drama, Thriller"
Half Nelson,tt0468489,Drama
Venus,tt0489327,"Drama, Comedy, Romance"
The Pursuit of Happyness,tt0454921,"Biography, Drama"
The Last King of Scotland,tt0455590,"Biography, Drama, History, Thriller"
Little Miss Sunshine,tt0449059,"Drama, Comedy"
Little Children,tt0404203,"Drama, Romance"
Dreamgirls,tt0443489,"Drama, Musical"
The Departed,tt0407887,"Crime, Drama, Thriller"
Volver,tt0441909,"Drama, Comedy"
Notes on a Scandal,tt0465551,"Crime, Drama, Romance, Thriller"
The Queen,tt0436697,"Biography, Drama"
The Devil Wears Prada,tt0458352,"Drama, Comedy"
Babel,tt0449467,Drama
Cars,tt0317219,"Animation, Sport, Comedy, Family, Adventure"
Happy Feet,tt0366548,"Animation, Comedy, Family, Musical, Romance, Adventure, Music"
Monster House,tt0385880,"Family, Animation, Mystery, Comedy"
The Good Shepherd,tt0343737,"Thriller, Drama, History"
Pan's Labyrinth,tt0457430,"Fantasy, War, Drama"
Pirates of the Caribbean: Dead Man's Chest,tt0383574,"Adventure, Action, Fantasy"
The Prestige,tt0482571,"Thriller, Mystery, Drama, Sci-Fi"
The Black Dahlia,tt0387877,"Crime, Mystery, Drama, Thriller"
Children of Men,tt0206634,"Thriller, Drama, Sci-Fi"
The Illusionist,tt0443543,"Drama, Mystery, Thriller, Romance, Fantasy"
Curse of the Golden Flower,tt0473444,"Action, Drama, Romance"
Marie Antoinette,tt15384074,"Biography, Drama, History"
Letters from Iwo Jima,tt0498380,"Drama, History, Action, War, Adventure"
United 93,tt0475276,"Thriller, Action, Drama, History"
Deliver Us from Evil,tt2377322,"Crime, Mystery, Thriller, Horror"
An Inconvenient Truth,tt0497116,Documentary
Iraq in Fragments,tt0492466,"War, Documentary"
Jesus Camp,tt0486358,Documentary
"My Country, My Country",tt4425258,Documentary
The Blood of Yingzhou District,tt0859595,"Documentary, Short"
Recycled Life,tt0859631,"Documentary, Short"
Rehearsing a Dream,tt0982919,"Documentary, Short"
Two Hands,tt0145547,"Crime, Thriller, Comedy"
After the Wedding,tt0457655,Drama
Days of Glory (Indigènes),Not found,N/A
The Lives of Others,tt0405094,"Thriller, Mystery, Drama"
Water,tt0240200,Drama
Apocalypto,tt0472043,"Adventure, Action, Drama, Thriller"
Click,tt0389860,"Fantasy, Drama, Comedy, Romance"
The Good German,tt0452624,"Drama, Mystery, Thriller, Romance, War"
The Danish Poet,tt0933357,"Animation, Short, Romance"
Lifted,tt0945571,"Animation, Comedy, Family, Short, Sci-Fi"
The Little Matchgirl,tt0816562,"Animation, Drama, Family, Fantasy, Short"
Maestro,tt5535276,"Drama, History, Romance, Biography, Music"
No Time for Nuts,tt0902999,"Animation, Comedy, Family, Adventure, Short, Sci-Fi"
Binta and the Great Idea (Binta Y La Gran Idea),Not found,N/A
Éramos Pocos (One Too Many),Not found,N/A
Helmer & Son,tt0955271,"Drama, Short, Comedy"
The Saviour,tt0195232,"War, Drama, Romance"
West Bank Story,tt0438575,"Musical, Short, Comedy, Romance"
Flags of Our Fathers,tt0418689,"Drama, History, Action, War, Adventure"
Poseidon,tt0409182,"Adventure, Action, Thriller"
Superman Returns,tt0348150,"Adventure, Action, Sci-Fi"
Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Not found,N/A
Michael Clayton,tt0465538,"Crime, Mystery, Drama, Thriller"
There Will Be Blood,tt0469494,Drama
Sweeney Todd The Demon Barber of Fleet Street,tt5096824,"Horror, Drama, Thriller"
In the Valley of Elah,tt0478134,"Crime, Mystery, Drama"
Eastern Promises,tt0765443,"Crime, Drama, Thriller"
The Assassination of Jesse James by the Coward Robert Ford,tt0443680,"Drama, History, Crime, Biography, Western"
No Country for Old Men,tt0477348,"Crime, Drama, Thriller"
Charlie Wilson's War,tt0472062,"Biography, History, Drama, Comedy"
Into the Wild,tt0758758,"Adventure, Biography, Drama"
Elizabeth: The Golden Age,tt0414055,"Biography, War, Drama, History"
Away from Her,tt0491747,Drama
La Vie en Rose,tt0450188,"Biography, Romance, Drama, Music"
The Savages,tt0775529,"Drama, Comedy"
Juno,tt0467406,"Drama, Comedy"
I'm Not There,tt0368794,"Biography, Drama, Music"
American Gangster,tt0765429,"Biography, Drama, Crime"
Atonement,tt0783233,"War, Mystery, Drama, Romance"
Gone Baby Gone,tt0452623,"Crime, Mystery, Drama, Thriller"
Persepolis,tt0808417,"Animation, Drama, History, War, Biography"
Ratatouille,tt0382932,"Animation, Comedy, Family, Adventure, Fantasy"
Surf's Up,tt0423294,"Animation, Sport, Comedy, Family, Adventure"
The Golden Compass,tt0385752,"Adventure, Fantasy, Family"
The Diving Bell and the Butterfly,tt0401383,"Biography, Drama"
Across the Universe,tt0445922,"Drama, History, Musical, Romance, Fantasy, Music"
No End in Sight,tt0912593,"War, Documentary"
Operation Homecoming: Writing the Wartime Experience,tt0970184,Documentary
Sicko,tt0386032,"Drama, Documentary"
Taxi to the Dark Side,tt0854678,"Crime, War, Documentary, History"
War/Dance,tt0912599,"War, Documentary, Music"
Freeheld,tt1658801,"Biography, Drama, Romance"
La Corona (The Crown),Not found,N/A
Salim Baba,tt1157707,"Documentary, Short"
Sari's Mother,tt0841160,"Documentary, Short"
The Bourne Ultimatum,tt0440963,"Thriller, Mystery, Action"
Beaufort,tt0758732,"War, Action, Drama"
The Counterfeiters,tt0813547,"Crime, War, Drama, History"
Katyn,tt0879843,"War, Drama, History"
Mongol,tt0416044,"Drama, History, Action, War, Biography"
12,tt0488478,"Crime, Drama, Thriller"
Norbit,tt0477051,"Comedy, Romance"
Pirates of the Caribbean: At World's End,tt0449088,"Adventure, Action, Fantasy"
The Kite Runner,tt0419887,Drama
3:10 to Yuma,tt0381849,"Crime, Western, Action, Drama"
Once,tt6922826,"Sport, Family"
Enchanted,tt0461770,"Animation, Comedy, Family, Adventure, Fantasy"
August Rush,tt0426931,"Drama, Music"
I Met the Walrus,tt1156511,"Animation, Music, Documentary, Short"
Madame Tutli-Putli,tt1029440,"Thriller, Animation, Short"
Même les Pigeons Vont au Paradis (Even Pigeons Go to Heaven),Not found,N/A
My Love (Moya Lyubov),Not found,N/A
Peter & the Wolf,tt0863136,"Animation, Family, Adventure, Short, Music"
At Night,tt7369898,"Drama, Short, Comedy"
Il Supplente (The Substitute),Not found,N/A
Le Mozart des Pickpockets (The Mozart of Pickpockets),Not found,N/A
Tanghi Argentini,tt0812387,"Short, Comedy"
The Tonto Woman,tt1176466,"Western, Drama, Short, Romance"
Transformers,tt0418279,"Adventure, Action, Sci-Fi"
Lars and the Real Girl,tt0805564,"Drama, Comedy, Romance"
The Visitor,tt30414712,Comedy
Frost/Nixon,tt0870111,"Biography, Drama, History"
Milk,tt1013753,"Biography, Drama, History"
The Curious Case of Benjamin Button,tt0421715,"Fantasy, Drama, Romance"
The Wrestler,tt1125849,"Sport, Drama"
Tropic Thunder,tt0942385,"War, Action, Comedy"
Doubt,tt0918927,"Mystery, Drama"
The Dark Knight,tt0468569,"Crime, Action, Drama, Thriller"
Revolutionary Road,tt0959337,"Drama, Romance"
Rachel Getting Married,tt1084950,"Drama, Romance"
Changeling,tt0824747,"Drama, History, Mystery, Crime, Thriller, Biography"
Frozen River,tt0978759,"Crime, Drama"
The Reader,tt0976051,"Mystery, Drama, Romance"
